"","Comp.1","Comp.2"
"A. dealbata",3.77751508933771,-3.00256139786885
"A. denticulata",0.289698073602406,0.533623239878417
"B. articulata",-1.72424259459131,-0.238256429139651
"B. rubiginosa",-2.46455585045222,0.107790656448638
"C. appressa",-1.7261611292781,0.109786258943294
"C. fascicularis",-0.613884180308163,0.539654339545053
"C. helmsii",1.84882085620963,2.78674097214113
"C. procerum",3.21375723233613,1.85209276857157
"C. eragrostis",-1.67311536535178,1.62086601978767
"E. acuta",0.985886960081617,1.4078759731996
"E. camaldulensis",1.82025096077447,-2.12794246972237
"G. filum",-2.49237206381574,-0.393923342316058
"J. amabilis",-1.49682884274586,-0.956111026277123
"J. procerus",-0.936448814278428,-0.360936525906423
"L. australis",0.305336034502363,-0.3750558617489
"M. drumondii",0.766986897622814,1.23479884223562
"M. ericifolia",1.27707506865455,-2.49665496804229
"M. squarrosa",1.82279742372796,-3.56878444690345
"M. florulenta",-1.63842138072557,-1.28392279044885
"M. crispatum",0.0453915225518124,1.95944444794729
"N. alba",2.21567765902009,0.739603591528472
"P. distichum",-2.91460098878268,0.786139018824907
"P. decipiens",0.33116004052643,0.814559711416347
"P. prostrata",0.390142014358484,0.390306338930019
"P. australis",-0.864247596756707,-1.01948328734078
"R. tetraphyllus",-2.25429513920202,-0.926887448965228
"R. crispus",2.50706776090258,2.61669853116377
"Sphagnum",-1.25053058673842,-0.359625016029054
"T. domingensis",0.452140938817979,-0.389835699852784
